Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,LABELS_CLASSEMENT,LABELS_THEMES,CLASSEMENT,CHAINES,LOGIS_CLASSEMENT,LOGIS_THEMES,CAPACITE_NBRE_PERS,OUVERTURE,TARIFS,EQUIPEMENTS,SERVICES
HPAAQU04001WBDRE,03/01/2020,Aire naturelle,Aire naturelle de Franc,,,Rue d'Huchet,226 Chemin de Franc,40660,MOLIETS-ET-MAA,40187,,+33 6 09 44 14 59,j.lafitte@sfr.fr,http://www.camping-de-franc.fr, -1.3605934,43.8562582,Oui,,,Gîtes de France,2 épis2 épis,,Aire naturelle,,,,90,15/04/2020|15/10/2020||||| # 15/04/2020|15/10/2020|||||,"Forfait journalier|10,00|16,00|Prix pour Emplacement + 2 pers. + voiture/jour # Forfait journalier|||Prix Personne en supplément/jour # Forfait journalier|||Prix Enfant de moins de 7 ans/jour # Forfait journalier|||Electricité/jour # Forfait journalier|||Voiture en supplément/jour # Forfait journalier|||Animal/jour # Forfait journalier|||1 personne: 10 € .- 2 personnes : 16 € # Forfait journalier|||personne supplémentaire : 7,50 € # Forfait journalier|||enfant : 6,80 € - chien et véhicule en + : 1,20 € - électricité : 3,20 € # Forfait journalier|16,00|19,20|",Boulodrome # Branchements électriques # Emplacement camping car # Jeux pour enfants,Dépôt de glace # Wifi
HPAAQU03301V3F5E,03/01/2020,Aire naturelle,Aire naturelle Laouba,,,2 chemin Laouba,Toupet,33930,VENDAYS-MONTALIVET,33540,,+33 6 45 24 08 69,info@campinglaouba.com,https://www.campinglaouba.com/fr/, -1.0716280,45.3447154,Oui,,,,,,Aire naturelle,,,,75,25/04/2020|16/10/2020|||||,"Forfait journalier|14,00||La nuit/emplacement",Branchements d'eau # Branchements électriques # Emplacement camping car # Jeux pour enfants # Terrain de sports,Bar # Location de vélos/VTT # Wifi
HPAAQU04001WBDRX,03/01/2020,Aire naturelle,Aire naturelle Le Douc,,,389 route de la piscine,,40430,SORE,40307,+33 5 58 07 60 06,,mairie@sore.fr,https://www.sore.fr/, -0.5830906,44.3198662,Oui,,,Gîtes de France,,,Aire naturelle,,,,48,,|||par personne # Location HLL / semaine|||Emplacement # Forfait journalier|||2 personnes,Branchements d'eau # Branchements électriques # Emplacement camping car # Jeux pour enfants # Tennis,
HPAAQU040FS00020,03/01/2020,Aire naturelle,Aire Naturelle Le Haoud'ici,,,407 route de Léon,,40140,MAGESCQ,40168,+33 5 58 47 70 72,,contact@camping-haoudici.com ,http://www.camping-haoudici.com , -1.2262396,43.7868505,,,,Gîtes de France,1 épi1 épi,,Aire naturelle,,,,80,01/04/2020|31/10/2020|||||,,,
HPAAQU04001WBDS0,03/01/2020,Aire naturelle,Aire naturelle Le Toy,,,1284 route Carroues,,40990,HERM,40123,+33 5 58 91 55 16,,vincent.fabas@laposte.net ,http://www.camping-du-toy.com, -1.1512727,43.8242246,,,,Gîtes de France,3 épis3 épis,,Aire naturelle,,,,75,,Forfait journalier|||2 personnes,Boulodrome # Branchements d'eau # Branchements électriques # Jeux pour enfants # Terrain de sports,Cyber espace / bornes accès Internet # Dépôt de glace # Location de bungalow / HLL # Location de caravanes # Surveillance de nuit # Wifi
HPAAQU064FS00015,03/01/2020,Aire naturelle,ANC Municipale du Plateau de Lhers,,,Route du Caillaü et de Lacuarde,Quartier Lhers,64490,ACCOUS,64006,+33 5 59 34 75 39,+33 6 70 20 45 86,gite-camping-lhers@laposte.net,http://www.gite-camping-lhers.com, -0.6168219,42.9135487,Oui,,,Esprit Parc National - Pyrénées,,,Aire naturelle,,,,75,01/01/2020|31/10/2020||||| # 05/12/2020|31/12/2020|||||,"Forfait journalier|3,50|3,50|Emplacement # Autre tarif|25,00|25,00|location de tente équipée # Forfait journalier|3,00|3,00|1 adulte # Forfait journalier|2,00|2,00|enfant jusqu'à 12 ans # Autre tarif|3,00|3,00|Electricité",Boulodrome # Branchements d'eau # Branchements électriques # Emplacement camping car # Jeux pour enfants # Restauration # Salon de télévision # Station service pour camping-car,Alimentation/Point alimentation # Bar # Cyber espace / bornes accès Internet # Dépôt de glace # Dépôt de pain # Location de tentes # Paniers pique-nique # Plats à emporter # Wifi
HPAAQU064014YPXU,01/02/2020,Aire naturelle,Camping à la ferme Diriart,,Maison Etchemendi Beheria,D22,,64780,SUHESCUN,64528,+33 5 59 37 69 61,+33 6 33 10 69 85,dominique.diriart0614@orange.fr,http://campingalafermepaysbasque.com, -1.2109936,43.2354062,Oui,,,Bienvenue à la Ferme # Gîtes de France,2 épis2 épis,,Aire naturelle,,,,100,11/04/2020|31/10/2020|||||,"Forfait journalier|7,00|7,00|Emplacement 1 personne avec 1 tente + 1 véhicule # Forfait journalier|10,00|10,00|Emplacement 2 personnes avec 1 tente et 1 véhicule # Forfait journalier|14,00|14,00|Emplacement 3 personnes avec 1 tente et 1 véhicule # Forfait journalier|15,00|15,00|Emplacement 4 personnes avec 1 tente et 1 véhicule # Forfait journalier|18,00|18,00|Emplacement 5 personnes avec 1 tente et 1 véhicule # Autre tarif|2,50|2,50|Branchement électrique par nuit",,Alimentation/Point alimentation # Plats à emporter
HPAAQU06401Y4YSH,08/01/2020,Aire naturelle,Camping à la ferme Landran,,,,,64130,ORDIARP,64424,+33 5 59 28 19 55,+33 6 32 49 57 26,landran@wanadoo.fr,http://www.ferme-landran-location.com, -0.9390628,43.2020319,Oui,,,Bienvenue à la Ferme # Gîtes de France,3 épis3 épis,,Aire naturelle,,,,75,18/04/2020|30/09/2020|||||,"Forfait journalier|9,30|9,30|1 personne # Forfait journalier|13,00|13,00|2 personnes # Forfait journalier|16,00|16,00|3 personnes # Forfait journalier|18,00|18,00|4 personnes # Forfait journalier|21,00|21,00|5 personnes  # Autre tarif|3,00|3,00|borne de service pour le remplissage d'eau (camping car) # Autre tarif|2,80|2,80|branchement électrique (6 ampères) # Autre tarif|1,00|1,00|animaux # Location mobil home / semaine|320,00|420,00|location chalet. Taxe de séjour en supplément # Autre tarif|70,00|70,00|nuitée en chalet (4, 5 ou 6 personnes). # Autre tarif|70,00|70,00|nuitée en chalet complet # Autre tarif|320,00|320,00|chalet Basse saison (hors juillet - août) # Autre tarif|420,00|420,00|chalet Haute-saison (juillet - août) # Autre tarif|6,00|6,00|Petit-Déjeuner par personne à la demande ",Branchements électriques # Jeux pour enfants # Station service pour camping-car,Dépôt de glace # Location de bungalow / HLL # Terrain fermé la nuit
HPAAQU03301V3ESJ,08/01/2020,Aire naturelle,Camping l'Acacia - Aire naturelle,,,Route de Carcans,182 lieu-dit Sainte-Hélène,33990,HOURTIN,33203,+33 5 56 73 80 80,+33 6 72 94 12 67,camping.lacacia@orange.fr,https://www.camping-lacacia-hourtin.com/, -1.0637165,45.1353548,Non,,,,,,Aire naturelle,,,,75,13/06/2020|30/09/2020|||||,"Forfait journalier|10,00||",Branchements électriques # Jeux pour enfants # Restauration # Salle de jeux,Alimentation/Point alimentation # Bar # Location de vélos/VTT # Surveillance de nuit # Terrain fermé la nuit
HPAAQU040V504DBA,09/05/2019,Aire naturelle,Houn de l'or,,,,,40150,ANGRESSE,40004,+33 5 58 41 71 66,+33 6 80 26 15 97,camp.armelle@yahoo.fr,, -1.3562833,43.6613614,Oui,,,Gîtes de France,1 épi1 épi,,Aire naturelle,,,,48,,,,
HPAAQU04001WBDRP,03/01/2020,Aire naturelle,La Téouleyre,,,468 chemin Jean de Paul,,40170,SAINT-JULIEN-EN-BORN,40266,,+33 6 03 03 15 81,info@lateouleyre.com,http://www.lateouleyre.com, -1.2389659,44.0729836,Oui,,,Gîtes de France,3 épis3 épis,,Aire naturelle,,,,150,08/05/2020|30/09/2020|||||,"Forfait journalier|15,00|20,00|",Branchements électriques # Jeux pour enfants,Dépôt de glace # Location de tentes # Wifi
